<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.05.28	08:00:00	1892.88	1894.65	1887.79	1893.43	17571	0	23
2021.05.28	12:00:00	1893.43	1896.17	1882.16	1892.82	19009	0	23
2021.05.28	16:00:00	1893.02	1900.52	1890.09	1899.85	28023	0	23
2021.05.28	20:00:00	1899.82	1905.65	1899.80	1903.86	15488	0	23
2021.05.31	00:00:00	1903.52	1905.55	1902.49	1904.76	3928	0	28
2021.05.31	04:00:00	1904.76	1910.45	1904.53	1906.69	13245	0	23
2021.05.31	08:00:00	1906.69	1907.96	1903.35	1906.30	11352	0	24
2021.05.31	12:00:00	1906.32	1906.90	1901.94	1905.21	10403	0	27
2021.05.31	16:00:00	1905.21	1906.84	1903.59	1906.32	12058	0	23
2021.06.01	00:00:00	1906.52	1908.55	1906.06	1907.99	3833	0	23
2021.06.01	04:00:00	1907.99	1914.30	1906.07	1910.50	12084	0	23
2021.06.01	08:00:00	1910.50	1916.44	1905.09	1911.43	15455	0	23
2021.06.01	12:00:00	1911.43	1911.81	1904.36	1910.06	16062	0	23
2021.06.01	16:00:00	1910.27	1911.89	1892.24	1903.22	27297	0	23
2021.06.01	20:00:00	1903.22	1903.58	1898.76	1900.12	8149	0	26
2021.06.02	00:00:00	1899.77	1900.41	1897.58	1898.78	3664	0	32
2021.06.02	04:00:00	1898.75	1902.14	1895.93	1896.17	10032	0	23
2021.06.02	08:00:00	1896.18	1900.60	1895.07	1896.25	15779	0	23
2021.06.02	12:00:00	1896.25	1906.84	1894.22	1904.46	13191	0	23
2021.06.02	16:00:00	1904.50	1908.68	1900.43	1906.35	19369	0	23
2021.06.02	20:00:00	1906.36	1908.94	1905.45	1907.94	6982	0	23
2021.06.03	00:00:00	1908.07	1909.42	1907.19	1908.22	3184	0	28
2021.06.03	04:00:00	1908.25	1909.52	1903.39	1903.52	9491	0	29
2021.06.03	08:00:00	1903.48	1903.95	1890.57	1894.16	13719	0	23
2021.06.03	12:00:00	1894.08	1898.07	1881.94	1882.05	19518	0	23
2021.06.03	16:00:00	1882.02	1883.57	1865.22	1870.83	29641	0	23
2021.06.03	20:00:00	1870.84	1873.98	1870.11	1870.37	8919	0	23
2021.06.04	00:00:00	1869.96	1871.98	1868.56	1869.25	4705	0	34
2021.06.04	04:00:00	1869.25	1871.85	1855.44	1868.22	14028	0	23
2021.06.04	08:00:00	1868.22	1874.98	1865.40	1869.44	13606	0	23
2021.06.04	12:00:00	1869.43	1885.81	1868.57	1884.40	14259	0	23
2021.06.04	16:00:00	1884.40	1896.04	1884.40	1889.22	26047	0	23
2021.06.04	20:00:00	1889.19	1892.00	1888.14	1891.26	7721	0	26
2021.06.07	00:00:00	1891.29	1891.62	1888.55	1890.64	4159	0	23
2021.06.07	04:00:00	1890.63	1891.73	1884.82	1885.73	12593	0	23
2021.06.07	08:00:00	1885.73	1887.10	1881.38	1884.53	15778	0	23
2021.06.07	12:00:00	1884.53	1888.18	1882.70	1887.10	14358	0	23
2021.06.07	16:00:00	1887.08	1895.54	1885.88	1894.98	21941	0	23
2021.06.07	20:00:00	1894.95	1899.95	1894.66	1898.75	8278	0	23
2021.06.08	00:00:00	1898.65	1901.32	1898.19	1901.32	3325	0	27
2021.06.08	04:00:00	1901.32	1903.17	1895.06	1896.96	11975	0	26
2021.06.08	08:00:00	1896.96	1898.32	1889.55	1892.46	15848	0	24
2021.06.08	12:00:00	1892.39	1903.55	1889.68	1892.94	16717	0	23
2021.06.08	16:00:00	1892.78	1896.19	1883.62	1892.28	23941	0	23
2021.06.08	20:00:00	1892.27	1893.93	1891.45	1892.68	9295	0	23
2021.06.09	00:00:00	1892.23	1895.02	1891.51	1895.01	3726	0	28
2021.06.09	04:00:00	1895.00	1896.21	1891.30	1893.84	12285	0	25
2021.06.09	08:00:00	1893.86	1895.49	1888.20	1889.25	17401	0	23
2021.06.09	12:00:00	1889.25	1895.72	1887.20	1893.61	16096	0	23
2021.06.09	16:00:00	1893.61	1898.89	1887.88	1891.11	22675	0	23
2021.06.09	20:00:00	1891.10	1893.17	1888.31	1888.35	8933	0	23
2021.06.10	00:00:00	1888.31	1889.24	1885.02	1885.91	2850	0	23
2021.06.10	04:00:00	1885.91	1888.74	1884.14	1885.33	10528	0	23
2021.06.10	08:00:00	1885.31	1887.99	1876.39	1882.19	15323	0	23
2021.06.10	12:00:00	1882.13	1891.46	1869.70	1890.75	18342	0	23
2021.06.10	16:00:00	1890.83	1894.65	1884.78	1893.59	29247	0	23
2021.06.10	20:00:00	1893.65	1899.80	1892.62	1898.16	12356	0	23
2021.06.11	00:00:00	1897.31	1899.53	1897.12	1899.38	3830	0	28
2021.06.11	04:00:00	1899.41	1900.79	1897.43	1900.16	11693	0	25
2021.06.11	08:00:00	1900.03	1902.84	1893.60	1895.02	15654	0	23
2021.06.11	12:00:00	1895.01	1895.99	1883.54	1883.94	18097	0	23
2021.06.11	16:00:00	1884.06	1886.57	1875.13	1878.93	24225	0	23
2021.06.11	20:00:00	1878.93	1879.03	1874.29	1876.00	8340	0	23
2021.06.14	00:00:00	1876.23	1877.70	1870.44	1870.59	6087	0	27
2021.06.14	04:00:00	1870.77	1871.59	1860.11	1865.33	10997	0	23
2021.06.14	08:00:00	1865.38	1866.04	1854.74	1857.98	16581	0	23
2021.06.14	12:00:00	1857.95	1861.38	1844.70	1848.06	18611	0	23
2021.06.14	16:00:00	1848.14	1869.67	1846.99	1863.99	22953	0	23
2021.06.14	20:00:00	1863.99	1866.34	1863.08	1865.91	7532	0	23
2021.06.15	00:00:00	1865.35	1867.56	1865.35	1866.31	4473	0	27
2021.06.15	04:00:00	1866.32	1867.74	1858.58	1864.27	14952	0	23
2021.06.15	08:00:00	1864.42	1869.06	1862.08	1863.96	15648	0	27
2021.06.15	12:00:00	1863.96	1867.54	1861.09	1865.40	16966	0	23
2021.06.15	16:00:00	1865.41	1867.99	1851.47	1852.17	25436	0	23
2021.06.15	20:00:00	1852.16	1859.25	1852.04	1858.51	11908	0	23
2021.06.16	00:00:00	1859.24	1860.66	1854.35	1854.35	4801	0	30
2021.06.16	04:00:00	1854.35	1860.35	1853.00	1859.80	12360	0	23
